[Header]	
System	TOC-L w TNM 9mL MULTIPLE INJ	
S/W Version	1.00	
User		
Date/Time	6/26/2024 6:33:40 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	Blank9	Untitled					0.6055	1.214	mg/L	62	6/15/2024 11:09:02 AM	
Unknown	NPOC/TN	DIT_04_FL1	Untitled					1.770	235.1	mg/L	63	6/15/2024 11:34:28 AM	
Unknown	NPOC/TN	DIT_04_FL2	Untitled					1.765	232.4	mg/L	64	6/15/2024 12:00:21 PM	
Unknown	NPOC/TN	DIT_04_FL3	Untitled					1.596	234.3	mg/L	65	6/15/2024 12:26:08 PM	
Unknown	NPOC/TN	DIT_04_SC1	Untitled					3.214	229.6	mg/L	66	6/15/2024 12:48:52 PM	
Unknown	NPOC/TN	DIT_04_SC2	Untitled					3.167	231.3	mg/L	67	6/15/2024 1:11:43 PM	
Unknown	NPOC/TN	DIT_04_SC3	Untitled					3.045	230.8	mg/L	68	6/15/2024 1:34:28 PM	
Unknown	NPOC/TN	DIT_04_SL1	Untitled					2.587	226.0	mg/L	69	6/15/2024 1:57:10 PM	
Unknown	NPOC/TN	DIT_04_SL2	Untitled					2.535	225.0	mg/L	70	6/15/2024 2:23:03 PM	
Unknown	NPOC/TN	DIT_04_SL3	Untitled					2.501	224.5	mg/L	71	6/15/2024 2:45:51 PM	
Unknown	NPOC/TN	Blank10	Untitled					0.7283	2.184	mg/L	72	6/15/2024 3:14:02 PM	
Unknown	NPOC/TN	CKSTD5_1ppmTN	Untitled					0.3540	11.81	mg/L	73	6/15/2024 3:41:40 PM	
Unknown	NPOC/TN	Blank11	Untitled					0.6850	1.412	mg/L	74	6/15/2024 4:09:18 PM	
Unknown	NPOC/TN	Blank12	Untitled					0.7609	1.232	mg/L	75	6/15/2024 4:35:05 PM	
Unknown	NPOC/TN	Blank13	Untitled					0.7971	0.9703	mg/L	76	6/15/2024 4:59:06 PM	
