[Header]	
System	TOC-L w TNM 9mL MULTIPLE INJ	
S/W Version	1.00	
User		
Date/Time	6/30/2024 9:23:38 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.cal	1.00		6/28/2024 3:31:17 PM	1	3	NPOC	0.8449	0.000	NPOC:0.000mg/L TN:0.03451mg/L	0	50	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.cal	1.00		6/28/2024 3:33:54 PM	1	4	NPOC	1.166	0.000	NPOC:0.000mg/L TN:0.03451mg/L	0	50	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 3:26:10 PM	1	1	TN	0.3127	0.03451	NPOC:0.000mg/L TN:0.03451mg/L	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 3:42:52 PM	1	1	NPOC	0.6715	0.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 3:45:00 PM	1	2	NPOC	0.5017	0.000	 	1	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 3:47:23 PM	1	3	NPOC	0.6907	0.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 3:49:45 PM	1	4	NPOC	0.6803	0.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 3:59:52 PM	2	1	NPOC	1.809	0.2500	 	1	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:02:30 PM	2	2	NPOC	1.970	0.2500	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:05:12 PM	2	3	NPOC	2.027	0.2500	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:07:55 PM	2	4	NPOC	2.126	0.2500	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:18:08 PM	3	1	NPOC	3.221	0.5000	 	1	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:20:57 PM	3	2	NPOC	2.893	0.5000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:23:44 PM	3	3	NPOC	2.687	0.5000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:26:33 PM	3	4	NPOC	2.844	0.5000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:36:21 PM	4	1	NPOC	5.555	1.000	 	1	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:39:15 PM	4	2	NPOC	5.148	1.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:42:13 PM	4	3	NPOC	4.986	1.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:45:05 PM	4	4	NPOC	4.849	1.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:55:36 PM	5	1	NPOC	9.530	2.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 4:58:41 PM	5	2	NPOC	9.124	2.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:01:59 PM	5	3	NPOC	9.489	2.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:05:06 PM	5	4	NPOC	8.837	2.000	 	1	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:15:46 PM	6	1	NPOC	21.90	5.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:19:06 PM	6	2	NPOC	21.40	5.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:22:17 PM	6	3	NPOC	21.91	5.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:33:10 PM	7	1	NPOC	31.04	7.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:36:35 PM	7	2	NPOC	30.98	7.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:39:53 PM	7	3	NPOC	30.39	7.000	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:50:09 PM	8	1	NPOC	43.20	10.00	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:53:40 PM	8	2	NPOC	43.24	10.00	 	0	50	
Standard	NPOC	STD1-10PPMNPOC	Untitled	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal		1.00		6/28/2024 5:57:08 PM	8	3	NPOC	42.83	10.00	 	0	50	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:06:34 PM	1	1	NPOC	1.356	0.1335	NPOC:0.1100mg/L TN:0.05476mg/L	0	50	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:09:05 PM	1	2	NPOC	1.077	0.06770	NPOC:0.1100mg/L TN:0.05476mg/L	0	50	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:11:31 PM	1	3	NPOC	0.6528	-0.03231	NPOC:0.1100mg/L TN:0.05476mg/L	1	50	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:14:05 PM	1	4	NPOC	1.336	0.1288	NPOC:0.1100mg/L TN:0.05476mg/L	0	50	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 6:06:34 PM	1	1	TN	0.4962	0.05476	NPOC:0.1100mg/L TN:0.05476mg/L	0	50	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:24:04 PM	1	1	NPOC	5.854	1.194	NPOC:1.098mg/L TN:0.08262mg/L	1	50	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:27:04 PM	1	2	NPOC	5.342	1.073	NPOC:1.098mg/L TN:0.08262mg/L	0	50	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:30:00 PM	1	3	NPOC	5.296	1.062	NPOC:1.098mg/L TN:0.08262mg/L	0	50	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:33:05 PM	1	4	NPOC	5.700	1.158	NPOC:1.098mg/L TN:0.08262mg/L	0	50	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 6:24:04 PM	1	1	TN	0.7486	0.08262	NPOC:1.098mg/L TN:0.08262mg/L	0	50	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:42:22 PM	1	1	NPOC	1.067	0.06535	NPOC:0.06409mg/L TN:0.04429mg/L	0	50	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:44:51 PM	1	2	NPOC	1.061	0.06393	NPOC:0.06409mg/L TN:0.04429mg/L	0	50	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:47:23 PM	1	3	NPOC	1.057	0.06299	NPOC:0.06409mg/L TN:0.04429mg/L	0	50	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 6:42:22 PM	1	1	TN	0.4013	0.04429	NPOC:0.06409mg/L TN:0.04429mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 6:59:10 PM	1	1	NPOC	10.05	2.183	NPOC:2.183mg/L TN:211.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:02:21 PM	1	2	NPOC	10.18	2.214	NPOC:2.183mg/L TN:211.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:05:28 PM	1	3	NPOC	9.911	2.150	NPOC:2.183mg/L TN:211.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 6:59:10 PM	1	1	TN	1920	211.9	NPOC:2.183mg/L TN:211.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:17:15 PM	1	1	NPOC	10.51	2.292	NPOC:2.200mg/L TN:217.9mg/L	1	50	
Unknown	NPOC/TN	DIT_05_BC2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:20:09 PM	1	2	NPOC	9.980	2.167	NPOC:2.200mg/L TN:217.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:23:11 PM	1	3	NPOC	10.39	2.263	NPOC:2.200mg/L TN:217.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:26:07 PM	1	4	NPOC	9.999	2.171	NPOC:2.200mg/L TN:217.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 7:17:15 PM	1	1	TN	1974	217.9	NPOC:2.200mg/L TN:217.9mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:37:51 PM	1	1	NPOC	9.897	2.147	NPOC:2.154mg/L TN:219.4mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:41:04 PM	1	2	NPOC	9.830	2.131	NPOC:2.154mg/L TN:219.4mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:44:11 PM	1	3	NPOC	10.05	2.183	NPOC:2.154mg/L TN:219.4mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BC3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 7:37:51 PM	1	1	TN	1988	219.4	NPOC:2.154mg/L TN:219.4mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:55:58 PM	1	1	NPOC	8.946	1.923	NPOC:1.915mg/L TN:214.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 7:58:56 PM	1	2	NPOC	9.017	1.940	NPOC:1.915mg/L TN:214.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 8:01:57 PM	1	3	NPOC	8.775	1.883	NPOC:1.915mg/L TN:214.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL1	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 7:55:58 PM	1	1	TN	1945	214.7	NPOC:1.915mg/L TN:214.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 8:13:44 PM	1	1	NPOC	8.684	1.861	NPOC:1.882mg/L TN:215.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 8:16:40 PM	1	2	NPOC	8.961	1.927	NPOC:1.882mg/L TN:215.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 8:19:33 PM	1	3	NPOC	8.677	1.860	NPOC:1.882mg/L TN:215.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL2	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\20240614_TN_0-10ppm.2024_06_14_17_14_24.cal	1.00		6/28/2024 8:13:44 PM	1	1	TN	1954	215.7	NPOC:1.882mg/L TN:215.7mg/L	0	50	
Unknown	NPOC/TN	DIT_05_BL3	Untitled	C:\TOC-L\Methods\NPOC_TN_9mL_multinj_Method_Sept2023_OO_AMP_CORRECT.met	C:\TOC-L\CalCurves\2024\June\20240628_NPOC_0-10mgL.2024_06_28_15_33_54.cal	1.00		6/28/2024 8:31:20 PM	1	1	NPOC	9.057	1.949	NPOC:1.948mg/L TN:217.1mg/L	0	50	
